time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-02-07T18:35:00.818Z,12.841811,80.157280,,24.133,,,0,network,,,,,,,,13,
2019-02-07T18:39:19.556Z,12.841811,80.157280,,24.133,,,0,network,,,,,,,,14,
2019-02-07T18:41:36.071Z,12.841819,80.157273,-67.4000015258789,24.115,,,0,network,,,,,,,,14,
2019-02-07T18:45:56.784Z,12.841807,80.157284,,24.223,,,0,network,,,,,,,,15,
2019-02-07T18:50:01.093Z,12.841807,80.157284,,24.223,,,0,network,,,,,,,,16,
2019-02-07T19:00:47.156Z,12.841811,80.157280,,24.12,,,0,network,,,,,,,,18,
2019-02-07T19:05:26.696Z,12.841815,80.157287,,24.173,,,0,network,,,,,,,,19,
2019-02-07T19:14:32.227Z,12.841811,80.157291,,24.256,,,0,network,,,,,,,,21,
2019-02-07T19:16:37.476Z,12.841811,80.157291,,24.256,,,0,network,,,,,,,,21,
2019-02-07T19:21:01.128Z,12.841819,80.157291,,24.299,,,0,network,,,,,,,,22,
2019-02-07T19:23:57.773Z,12.841811,80.157291,,23.345,,,0,network,,,,,,,,23,
2019-02-07T19:26:08.513Z,12.841815,80.157288,,24.253,,,0,network,,,,,,,,23,
2019-02-07T19:30:27.902Z,12.841811,80.157284,,24.191,,,0,network,,,,,,,,24,
2019-02-07T19:36:31.102Z,12.841803,80.157292,-67.30000305175781,24.242,,,0,network,,,,,,,,25,
2019-02-07T19:40:32.237Z,12.841811,80.157276,,24.255,,,0,network,,,,,,,,26,
2019-02-07T19:44:34.514Z,12.841803,80.157292,,24.262,,,0,network,,,,,,,,27,
2019-02-07T19:49:07.654Z,12.841811,80.157284,,24.184,,,0,network,,,,,,,,28,
2019-02-07T19:51:08.953Z,12.841811,80.157284,,24.184,,,0,network,,,,,,,,28,
2019-02-07T19:54:25.635Z,12.841811,80.157280,-67.30000305175781,24.17,,,0,network,,,,,,,,29,
2019-02-07T19:56:31.031Z,12.841803,80.157292,-67.30000305175781,24.265,,,0,network,,,,,,,,29,
2019-02-07T20:01:04.051Z,12.841811,80.157280,,24.165,,,0,network,,,,,,,,30,
2019-02-07T20:05:32.386Z,12.841811,80.157280,,24.141,,,0,network,,,,,,,,31,
2019-02-07T20:10:09.785Z,12.841815,80.157287,,24.117,,,0,network,,,,,,,,32,
2019-02-07T20:14:13.070Z,12.841811,80.157292,,23.374,,,0,network,,,,,,,,33,
2019-02-07T20:16:42.446Z,12.841811,80.157292,,23.379,,,0,network,,,,,,,,34,
2019-02-07T20:23:57.064Z,12.841819,80.157291,,24.311,,,0,network,,,,,,,,35,
2019-02-07T20:26:02.042Z,12.841815,80.157288,,23.308,,,0,network,,,,,,,,35,
2019-02-07T20:30:27.645Z,12.841815,80.157288,,24.173,,,0,network,,,,,,,,36,
2019-02-07T20:36:22.926Z,12.841815,80.157288,,24.173,,,0,network,,,,,,,,37,
2019-02-07T20:39:01.326Z,12.841811,80.157280,,23.251,,,0,network,,,,,,,,38,
2019-02-07T20:41:28.407Z,12.841811,80.157280,,24.131,,,0,network,,,,,,,,38,
2019-02-07T20:44:21.584Z,12.841815,80.157288,,23.263,,,0,network,,,,,,,,39,
2019-02-07T20:46:22.677Z,12.841811,80.157291,,24.225,,,0,network,,,,,,,,39,
2019-02-07T20:51:06.329Z,12.841811,80.157292,,23.323,,,0,network,,,,,,,,40,
2019-02-07T21:06:31.021Z,12.841815,80.157287,,24.123,,,0,network,,,,,,,,43,
